,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,label,Q-value
187741,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
68658,142.363,954.3689999999999,3.6200000000000004e-21,3198.095,3.5,6373.680176,Extremely_Loud,5.657
44597,72.352,63.19,2.4e-22,2821.5409999999997,0.8440000000000001,5607.71875,Extremely_Loud,5.657
128231,115.113,138.30200000000002,5.74e-22,2372.106,2.117,4713.623047,Extremely_Loud,5.657
1082,39.789,3304.77,2.87e-20,3980.241,7.013999999999999,7940.48291,Extremely_Loud,5.657
10964,89.676,2357.58,1.1100000000000001e-20,3404.973,6.438,6794.723145,Extremely_Loud,5.657
23833,142.363,583.741,2.26e-21,3238.252,4.003,6451.770508,Extremely_Loud,5.657
66908,60.857,248.78599999999997,1.67e-21,3002.757,3.125,5980.779785,Extremely_Loud,5.657
15595,176.063,3998.888,1.4999999999999998e-20,3942.868,6.375,7865.735352,Extremely_Loud,5.657
84362,411.865,934.227,3.48e-21,3871.8179999999998,2.229,7713.046875,Extremely_Loud,5.657
123,115.113,7646.706,3.3100000000000003e-20,3980.241,8.25,7940.48291,Extremely_Loud,11.314
38571,115.113,1145.861,4.55e-21,2375.556,3.125,4731.112793,Extremely_Loud,5.657
79607,142.363,927.732,3.6e-21,3001.573,3.0,5983.146973,Extremely_Loud,5.657
143349,39.789,107.443,9.95e-22,825.575,3.25,1626.4165039999998,Extremely_Loud,5.657
20344,14.523,32.998000000000005,4.71e-20,29.454,2.5,38.907371999999995,Extremely_Loud,11.314
187973,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
22690,60.857,194.933,1.4400000000000001e-21,2669.739,2.75,5315.293457,Extremely_Loud,22.627
120800,176.063,486.885,1.8199999999999997e-21,2327.856,2.5,4625.121582,Extremely_Loud,5.657
75139,176.063,832.4689999999999,2.7699999999999996e-21,2376.74,2.75,4728.745605,Extremely_Loud,5.657
63,34.59,9008.049,1.4199999999999997e-19,3980.241,11.25,7940.48291,Extremely_Loud,11.314
80755,41.268,302.01099999999997,4.59e-21,3130.4759999999997,3.5,6252.95166,Extremely_Loud,45.255
82075,39.789,1197.497,1.08e-20,3980.241,7.757000000000001,7940.48291,Extremely_Loud,5.657
154212,32.173,210.63400000000001,2.43e-21,2632.756,3.25,5240.77832,Extremely_Loud,5.657
188074,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
187842,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
1141,75.263,3197.1479999999997,1.91e-20,3980.241,7.209,7940.48291,Extremely_Loud,11.314
83974,32.173,772.174,8.77e-21,3406.167,4.0760000000000005,6792.334961,Extremely_Loud,5.657
57951,115.113,1450.566,6.05e-21,3905.845,5.5,7791.69043,Extremely_Loud,11.314
22647,49.208,938.064,8.000000000000001e-21,3295.907,5.5,6571.813965,Extremely_Loud,11.314
3761,19.648,33.132,1.03e-20,28.308000000000003,7.25,31.881659999999997,Extremely_Loud,11.314
59878,60.857,225.611,1.3699999999999998e-21,1297.934,2.5,2571.1328129999997,Extremely_Loud,22.627
2250,49.208,1661.214,1.33e-20,3406.167,5.0,6792.334961,Extremely_Loud,11.314
11382,60.857,740.544,3.82e-21,3700.9790000000003,4.25,7381.958495999999,Extremely_Loud,11.314
81669,43.035,22.559,2.29e-22,1681.819,1.0,3337.58252,Extremely_Loud,45.255
2534,49.208,1363.646,1.19e-20,3905.845,4.625,7791.69043,Extremely_Loud,11.314
46174,39.789,1621.876,1.29e-20,3700.9790000000003,6.75,7381.958495999999,Extremely_Loud,5.657
187965,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
108768,111.12799999999999,94.726,4.14e-22,3368.442,3.823,6700.983397999999,Extremely_Loud,5.657
22651,115.113,934.171,3.8799999999999996e-21,3408.815,3.25,6787.040039,Extremely_Loud,5.657
1475,39.789,2656.385,3.3300000000000004e-20,3980.241,7.25,7940.48291,Extremely_Loud,11.314
165,142.363,7149.924,2.72e-20,3980.241,7.25,7940.48291,Extremely_Loud,5.657
158210,93.079,179.205,8.399999999999999e-22,2485.756,2.625,4940.922363000001,Extremely_Loud,5.657
18799,39.789,1625.771,2.3e-20,3406.167,5.75,6792.334961,Extremely_Loud,11.314
1194,75.263,3080.113,1.6100000000000002e-20,3197.468,5.422000000000001,6374.935059,Extremely_Loud,45.255
51357,39.789,2479.266,2.2699999999999998e-20,3980.241,7.25,7940.48291,Extremely_Loud,5.657
187271,39.789,5919.36,7.38e-20,3980.241,8.0,7940.48291,Extremely_Loud,11.314
125989,60.857,430.265,2.7800000000000003e-21,541.9159999999999,2.625,1059.098145,Extremely_Loud,5.657
164547,38.062,9.708,1.26e-22,3410.494,0.5,6783.681640999999,Extremely_Loud,45.255
21998,10.734000000000002,12.339,1.73e-19,16.266,0.75,12.53232,Extremely_Loud,45.255
1023,217.74099999999999,3425.2729999999997,1.3100000000000002e-20,3980.241,5.25,7940.48291,Extremely_Loud,5.657
99709,104.579,7.537000000000001,3.09e-23,980.309,0.594,1778.2321780000002,Scratchy,45.255
154214,97.88799999999999,13.841,5.95e-23,86.616,1.3130000000000002,82.798126,Scratchy,45.255
120168,104.016,14.302999999999999,1.02e-22,1838.7910000000002,3.5,3506.849365,Scratchy,45.255
129542,121.587,7.6739999999999995,3.25e-23,122.795,0.094,23.725179999999998,Scratchy,45.255
104083,96.96700000000001,17.008,7.19e-23,224.607,2.063,377.656219,Scratchy,45.255
136308,96.96700000000001,15.025,7.379999999999999e-23,3719.219,3.25,7345.478026999999,Scratchy,45.255
161712,82.58200000000001,19.282,8.1e-23,3988.112,5.075,7924.741698999999,Scratchy,45.255
195142,97.88799999999999,10.21,4.85e-23,740.215,2.5,1382.653931,Scratchy,45.255
127549,115.113,7.835,3.7799999999999994e-23,197.31,0.262,259.265289,Scratchy,5.657
203339,49.586000000000006,7.859,1.0499999999999999e-22,1939.765,1.125,3814.859619,Scratchy,22.627
182352,75.851,8.774,8.5e-23,1325.592,3.188,2518.660889,Scratchy,5.657
126054,114.939,9.668,3.36e-23,135.53799999999998,1.4380000000000002,213.21461499999998,Scratchy,5.657
145069,101.852,7.872999999999999,3.56e-23,1770.6960000000001,0.289,3411.3789060000004,Scratchy,5.657
106276,109.053,10.055,3.8299999999999997e-23,102.133,1.5,43.150501,Scratchy,45.255
167049,89.064,9.36,5.110000000000001e-23,90.44200000000001,1.5,31.73583,Scratchy,45.255
80619,87.398,22.104,1.15e-22,3839.2340000000004,9.406,7543.111816,Scratchy,45.255
192897,88.891,9.76,4.9799999999999996e-23,2114.047,0.6559999999999999,4066.442139,Scratchy,45.255
152384,90.76299999999999,13.119000000000002,6.63e-23,86.86399999999999,1.6880000000000002,82.30229200000001,Scratchy,45.255
182054,87.73299999999999,19.264,8.97e-23,2660.3140000000003,4.313,5190.615234000001,Scratchy,45.255
164232,160.77700000000002,7.89,3.38e-23,3815.296,0.501,7394.223145,Scratchy,45.255
40046,117.57700000000001,7.6579999999999995,2.8000000000000003e-23,3891.533,1.188,7673.618164,Scratchy,22.627
176793,78.032,7.755,4.0899999999999997e-23,90.54,0.563,31.5387,Scratchy,45.255
70350,90.76299999999999,17.45,9.87e-23,3685.092,1.281,7234.828613,Scratchy,45.255
199769,96.96700000000001,11.437000000000001,8.13e-23,1276.7839999999999,3.75,2385.709229,Scratchy,45.255
197864,96.96700000000001,8.757,4.85e-23,76.04899999999999,0.672,56.15234,Scratchy,45.255
123619,93.079,11.39,5.32e-23,167.623,0.735,263.686981,Scratchy,5.657
170205,90.76299999999999,10.229,5.1e-23,824.252,0.5,1513.147705,Scratchy,45.255
197505,96.96700000000001,10.72,5.0799999999999994e-23,95.00399999999999,1.063,22.61138,Scratchy,45.255
44202,84.26,7.832000000000001,4.14e-23,2840.3379999999997,1.36,5570.123535,Scratchy,45.255
193600,97.352,9.08,4.2700000000000005e-23,90.51799999999999,0.625,19.9214,Scratchy,45.255
170840,82.44200000000001,38.326,3.96e-22,104.255,3.094,116.70053100000001,Scratchy,45.255
151656,102.819,8.308,3.15e-23,97.13799999999999,0.25,61.75388,Scratchy,22.627
58900,96.96700000000001,26.249000000000002,1.1599999999999998e-22,2637.962,2.875,5230.367188,Scratchy,45.255
26647,78.032,14.079,6.75e-23,3495.199,4.096,6932.537109000001,Scratchy,22.627
178147,106.574,16.012999999999998,7.19e-23,2745.466,4.875,5355.575684,Scratchy,45.255
165358,195.076,10.86,3.6799999999999996e-23,481.348,2.188,770.0565799999999,Scratchy,45.255
71980,100.70100000000001,20.4,8.340000000000001e-23,2989.9320000000002,7.0,5844.508301,Scratchy,45.255
137573,89.91,10.285,6.93e-23,87.76899999999999,1.5630000000000002,80.492928,Scratchy,45.255
203108,93.079,8.955,4.0899999999999997e-23,115.788,0.354,160.017029,Scratchy,5.657
148889,75.263,8.685,4.64e-23,90.85600000000001,0.391,134.92576599999998,Scratchy,5.657
123615,93.079,11.39,5.32e-23,167.623,0.735,263.686981,Scratchy,5.657
140204,88.88,8.222000000000001,3.99e-23,97.846,0.21899999999999997,60.33728000000001,Scratchy,22.627
184721,90.76299999999999,8.734,4.129999999999999e-23,136.23,1.4380000000000002,101.454071,Scratchy,45.255
179520,96.96700000000001,8.454,3.86e-23,1398.986,2.4130000000000003,2709.474609,Scratchy,45.255
161251,1743.3120000000001,9.632,9.38e-23,1788.975,0.012,1435.0195310000001,Scratchy,11.314
180035,93.777,8.545,3.41e-23,96.70100000000001,0.75,62.62896,Scratchy,45.255
169528,89.91,13.055,6.389999999999999e-23,92.476,1.0,23.2995,Scratchy,45.255
199579,96.96700000000001,7.521,3.46e-23,2868.237,0.43799999999999994,5569.076172,Scratchy,11.314
153311,145.556,11.96,4.61e-23,3717.763,1.969,7252.658691,Scratchy,45.255
199942,95.15299999999999,8.85,4.1700000000000006e-23,95.12,0.625,22.380051,Scratchy,45.255
56048,70.623,9.142000000000001,3.7600000000000005e-23,102.87899999999999,0.43799999999999994,100.842232,Power_Line,45.255
33238,70.623,11.853,4.6700000000000005e-23,3978.998,1.229,7942.969238,Power_Line,22.627
52248,70.623,8.05,3.2200000000000004e-23,3112.38,0.852,6209.733886999999,Power_Line,45.255
54843,70.623,8.158,3.34e-23,3680.849,0.375,7241.764648,Power_Line,22.627
39373,70.623,11.654000000000002,4.57e-23,1031.593,2.0,2048.774902,Power_Line,45.255
29373,70.623,10.645999999999999,4.9e-23,3900.103,0.392,7695.290039,Power_Line,22.627
31065,70.623,11.157,4.2700000000000005e-23,4001.47,0.47600000000000003,7898.024414,Power_Line,45.255
42469,70.623,13.47,5.3e-23,352.115,0.75,599.313354,Power_Line,45.255
70157,70.623,12.622,4.72e-23,72.976,0.7659999999999999,101.463013,Power_Line,45.255
36490,70.623,11.311,4.7700000000000004e-23,76.143,0.375,47.36956,Power_Line,45.255
18319,70.623,13.432,5.32e-23,1827.4489999999998,0.75,3549.981689,Power_Line,22.627
43463,70.43,10.261,4.0399999999999994e-23,3698.5640000000003,0.377,7292.212401999999,Power_Line,22.627
159068,55.497,8.654,5.61e-23,56.315,0.5,54.76775,Power_Line,22.627
31643,70.623,11.515999999999998,4.5799999999999995e-23,76.143,0.625,47.36956,Power_Line,22.627
48414,70.623,10.96,5.0700000000000006e-23,88.083,0.43799999999999994,71.24968,Power_Line,22.627
122149,75.851,11.662,8.199999999999999e-23,189.41099999999997,2.563,246.300262,Power_Line,45.255
24831,70.623,12.421,4.56e-23,88.083,0.375,71.24968,Power_Line,45.255
53321,70.623,9.281,3.7e-23,250.227,0.41700000000000004,395.537262,Power_Line,22.627
196955,78.307,8.14,3.18e-23,3678.615,0.25,7247.782715,Power_Line,22.627
56111,70.623,9.232000000000001,3.6299999999999993e-23,3900.103,0.431,7695.290039,Power_Line,45.255
32541,69.014,12.167,7.19e-23,495.24199999999996,1.25,865.0032960000001,Power_Line,45.255
118330,73.732,17.933,9.150000000000001e-23,3049.7909999999997,5.0,5990.134765999999,Power_Line,45.255
96896,70.623,7.652,3.0199999999999995e-23,79.958,0.188,55.000431000000006,Power_Line,22.627
23261,70.623,14.443,5.470000000000001e-23,4001.47,0.7120000000000001,7898.024414,Power_Line,45.255
129992,70.43,8.691,3.56e-23,71.08,0.625,57.495892000000005,Power_Line,11.314
43577,70.623,12.747,4.7999999999999993e-23,2818.115,7.5,5624.179688,Power_Line,45.255
50957,70.623,9.314,3.66e-23,3817.8590000000004,0.74,7530.801758,Power_Line,45.255
68255,63.39,8.171,3.73e-23,3579.808,0.625,7037.325195,Power_Line,45.255
58027,70.623,9.749,3.9e-23,88.083,0.375,71.24968,Power_Line,45.255
99749,73.732,14.542,8.72e-23,422.342,1.5,735.237854,Power_Line,45.255
33388,70.623,10.044,3.88e-23,2775.202,0.779,5445.487793,Power_Line,22.627
39671,70.623,10.867,4.1899999999999995e-23,2788.028,0.5,5471.140136999999,Power_Line,22.627
