H1 o3a,Count,%
Low_Frequency_Burst,17505.0,21.677481672280564
Extremely_Loud,12492.0,15.469585892609473
Scattered_Light,10299.0,12.75386368139489
Koi_Fish,9328.0,11.551416683178125
No_Glitch,8210.0,10.166930850009907
Whistle,7083.0,8.771299782048741
Blip,6785.0,8.402268674460075
Low_Frequency_Lines,4111.0,5.090895581533585
Repeating_Blips,1503.0,1.8612542104220329
Tomte,666.0,0.8247473746780266
None_of_the_Above,660.0,0.8173172181493956
Air_Compressor,597.0,0.7393005745987715
Scratchy,530.0,0.6563304933623935
Power_Line,291.0,0.3603625916385972
Violin_Mode,261.0,0.32321180899544283
1400Ripples,128.0,0.1585100059441252
Helix,101.0,0.12507430156528632
Light_Modulation,74.0,0.09163859718644739
1080Lines,46.0,0.05696453338617
Chirp,44.0,0.05448781454329305
Wandering_Line,21.0,0.026005547850208043
Paired_Doves,17.0,0.02105211016445413
Total,80752.0,100.0
