L1 o3a,Count,%
Scattered_Light,24595.0,19.432088426075893
None_of_the_Above,19784.0,15.630999691867679
Tomte,19686.0,15.553571569657656
No_Glitch,14500.0,11.456201755564159
Blip,9592.0,7.578474982025614
Koi_Fish,7590.0,5.996729056878067
Extremely_Loud,6992.0,5.524259494821006
1400Ripples,6600.0,5.214547005980927
Low_Frequency_Lines,3067.0,2.423184192021743
Low_Frequency_Burst,2977.0,2.3520767328492758
Whistle,2924.0,2.3102023402254894
Violin_Mode,1945.0,1.5367112010049855
Air_Compressor,1687.0,1.332869818043913
Power_Line,1621.0,1.2807243479841035
Paired_Doves,1022.0,0.8074647030473496
Light_Modulation,717.0,0.5664894247406553
Repeating_Blips,534.0,0.42190425775663865
Helix,253.0,0.19989096856260222
Scratchy,243.0,0.19199013976566143
1080Lines,155.0,0.12246284635258238
Wandering_Line,61.0,0.04819505566133888
Chirp,24.0,0.01896198911265792
Total,126569.0,100.0
