L1 o3a,Count,%
Scattered_Light,77696.0,40.32113257876519
None_of_the_Above,29292.0,15.201382510002958
Tomte,19489.0,10.114015558427134
Low_Frequency_Lines,10801.0,5.60528924247378
Low_Frequency_Burst,10338.0,5.365010664632343
Blip,9369.0,4.862138219862683
Whistle,6143.0,3.1879725781424337
Extremely_Loud,6141.0,3.186934657719793
Koi_Fish,5244.0,2.7214273481652165
Paired_Doves,4866.0,2.5252603882860303
No_Glitch,3815.0,1.9798332061880815
Air_Compressor,3370.0,1.7488959121504155
Violin_Mode,1622.0,0.8417534627620101
Power_Line,1590.0,0.825146735999751
1080Lines,1087.0,0.5641097497054901
Repeating_Blips,760.0,0.3944097606036545
Light_Modulation,349.0,0.1811171137508887
1400Ripples,269.0,0.13960029684524086
Scratchy,206.0,0.10690580353204321
Helix,185.0,0.09600763909431063
Chirp,33.0,0.017125686973579735
Wandering_Line,28.0,0.014530885916976745
Total,192693.0,100.00000000000001
